Target	BaitCovg	w/in100nt	w/in300nt	w/in500nt
ALLTARGS	59.45%	76.85%	88.66%	93.09%
A-11-(FA2H)	62.59%	80.30%	92.08%	96.95%
A-12-(ADCY3)	58.05%	75.60%	89.99%	95.53%
A-13-(CEP112)	75.03%	87.97%	96.18%	98.43%
A-14-(NELL1)	53.16%	75.53%	90.54%	94.53%
A-15-(SORCS3)	67.15%	85.16%	96.41%	99.62%
A-16-(CBFA2T3)	72.53%	88.64%	98.06%	100.00%
A-17-(GEMIN4)	67.73%	82.11%	91.45%	93.97%
A-18-(KREMEN1)	65.28%	82.03%	93.69%	97.27%
A-19-(MKL2)	39.59%	55.52%	71.22%	78.43%
A-20-(ERCC4)	64.09%	83.93%	98.18%	100.00%
A-21-(RAPGEF1)	87.12%	96.85%	99.75%	100.00%
A-9-(SOX5)	80.62%	94.15%	99.40%	100.00%
A1-(FBXL17)-	68.91%	87.91%	98.70%	100.00%
A10-(MDGA2)	42.87%	62.06%	77.38%	84.67%
A2-(MASP1)	53.33%	73.78%	89.84%	95.12%
A3-(GNPDA1)	57.81%	82.89%	97.49%	100.00%
A4-(CMIP)	60.46%	80.77%	93.90%	97.95%
A5(REPS2)	59.56%	76.45%	91.08%	96.43%
A6-(ARNTL)	69.46%	89.19%	96.18%	98.64%
A7-(ABAT)	61.50%	81.76%	91.85%	95.39%
A8-(PCDHI7)	90.53%	97.36%	98.29%	98.79%
U1-A-	58.41%	70.46%	80.40%	85.90%
U1-B-	66.58%	85.10%	96.22%	99.22%
U1-C-	72.19%	87.30%	97.22%	99.83%
U1-D-	47.66%	63.78%	78.53%	86.97%
U1-E-	51.43%	67.50%	81.27%	87.05%
U10-A	56.08%	77.21%	92.30%	96.54%
U11-A	60.15%	79.38%	90.85%	93.61%
U12-A	51.45%	65.41%	75.59%	80.84%
U13-A	66.12%	86.33%	97.74%	100.00%
U14-A	41.01%	59.08%	74.35%	80.44%
U15-A	63.47%	75.94%	82.04%	84.39%
U16-A	58.22%	78.66%	90.90%	94.88%
U17-A	71.78%	87.07%	95.83%	98.49%
U18-A	49.62%	66.20%	79.75%	87.16%
U19-A	49.88%	63.45%	74.93%	81.53%
U2-A	57.06%	76.88%	90.72%	94.53%
U2-B-	67.81%	82.12%	92.94%	98.33%
U2-C-	67.26%	84.17%	95.58%	98.77%
U20-A	57.44%	78.16%	92.59%	96.83%
U21-A	66.05%	82.43%	94.58%	98.33%
U21-B	53.41%	69.53%	79.66%	84.31%
U21-C	68.05%	83.72%	94.52%	97.45%
U22-A	40.56%	54.20%	66.41%	73.97%
U23-A	42.91%	62.70%	80.69%	88.88%
U24-A	38.28%	50.67%	66.39%	76.42%
U25-A	71.91%	86.89%	96.88%	100.00%
U26-A	55.40%	73.97%	89.24%	93.91%
U27-A	58.34%	72.40%	87.22%	94.23%
U28-A	54.87%	76.97%	93.86%	98.88%
U29-A	64.95%	88.79%	97.62%	99.93%
U3-A-	77.69%	90.93%	97.63%	99.13%
U3-B-	62.99%	78.97%	91.27%	96.19%
U30-A	53.27%	70.53%	82.45%	87.79%
U31-A	64.61%	85.51%	95.74%	98.48%
U32-A	62.48%	86.60%	98.33%	100.00%
U33-A	40.80%	65.79%	87.35%	95.35%
U34-A	49.30%	67.83%	83.19%	90.89%
U35-A	62.33%	81.20%	94.60%	98.22%
U36-A	44.27%	62.16%	77.67%	85.39%
U37-A	62.94%	77.98%	90.50%	97.39%
U38-A	45.69%	64.28%	82.83%	91.56%
U39-A	28.16%	40.13%	52.43%	61.50%
U4-A-	57.80%	73.83%	88.14%	93.94%
U4-B	60.81%	78.11%	87.59%	90.03%
U40-A	47.29%	68.40%	83.78%	92.51%
U41-A	50.40%	68.14%	81.07%	88.58%
U42-A	59.50%	82.59%	94.44%	97.61%
U43-A	69.08%	89.68%	97.67%	99.17%
U44-A	55.04%	76.92%	92.15%	96.74%
U45-A	58.74%	77.99%	92.49%	97.99%
U46-A	30.81%	42.55%	53.30%	60.84%
U47-A	74.15%	93.59%	99.86%	100.00%
U48-A	75.47%	87.14%	93.02%	94.48%
U49-A	67.89%	87.05%	94.17%	97.12%
U5-A	58.35%	75.50%	85.91%	91.20%
U50-A	44.85%	57.66%	67.40%	73.55%
U51-A	49.41%	74.54%	87.55%	93.09%
U6-A	71.79%	86.51%	94.58%	96.58%
U7-A	61.41%	77.17%	90.56%	96.86%
U8-A	62.93%	85.81%	97.16%	99.01%
U9-A	72.53%	88.98%	96.39%	99.05%
